season,team,stadium,wins
2019,Rajasthan Royals,De Beers Diamond Oval,0
2019,Rajasthan Royals,OUTsurance Oval,0
2019,Rajasthan Royals,Brabourne Stadium,0
2019,Rajasthan Royals,"Sardar Patel Stadium, Motera",0
2019,Rajasthan Royals,Barabati Stadium,0
2019,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",0
2019,Rajasthan Royals,Himachal Pradesh Cricket Association Stadium,0
2019,Rajasthan Royals,Nehru Stadium,0
2019,Rajasthan Royals,Holkar Cricket Stadium,0
2019,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2019,Rajasthan Royals,Subrata Roy Sahara Stadium,0
2019,Rajasthan Royals,Shaheed Veer Narayan Singh International Stadium,0
2019,Rajasthan Royals,JSCA International Stadium Complex,0
2019,Rajasthan Royals,Sheikh Zayed Stadium,0
2019,Rajasthan Royals,Sharjah Cricket Stadium,0
2019,Rajasthan Royals,Dubai International Cricket Stadium,0
2019,Rajasthan Royals,Maharashtra Cricket Association Stadium,0
2019,Rajasthan Royals,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2019,Rajasthan Royals,Saurashtra Cricket Association Stadium,0
2019,Rajasthan Royals,Green Park,0
2019,Rajasthan Royals,M.Chinnaswamy Stadium,0
2019,Deccan Chargers,M Chinnaswamy Stadium,0
2019,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",0
2019,Deccan Chargers,Feroz Shah Kotla,0
2019,Deccan Chargers,Wankhede Stadium,0
2019,Deccan Chargers,Eden Gardens,0
2019,Deccan Chargers,Sawai Mansingh Stadium,0
2019,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",0
2019,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",0
2019,Deccan Chargers,Dr DY Patil Sports Academy,0
2019,Deccan Chargers,Newlands,0
2019,Deccan Chargers,St George's Park,0
2019,Deccan Chargers,Kingsmead,0
2019,Deccan Chargers,SuperSport Park,0
2019,Deccan Chargers,Buffalo Park,0
2019,Deccan Chargers,New Wanderers Stadium,0
2019,Deccan Chargers,De Beers Diamond Oval,0
2019,Deccan Chargers,OUTsurance Oval,0
2019,Deccan Chargers,Brabourne Stadium,0
2019,Deccan Chargers,"Sardar Patel Stadium, Motera",0
2019,Deccan Chargers,Barabati Stadium,0
2019,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",0
2019,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,0
2019,Deccan Chargers,Nehru Stadium,0
2019,Deccan Chargers,Holkar Cricket Stadium,0
2019,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2019,Deccan Chargers,Subrata Roy Sahara Stadium,0
2019,Deccan Chargers,Shaheed Veer Narayan Singh International Stadium,0
2019,Deccan Chargers,JSCA International Stadium Complex,0
2019,Deccan Chargers,Sheikh Zayed Stadium,0
2019,Deccan Chargers,Sharjah Cricket Stadium,0
2019,Deccan Chargers,Dubai International Cricket Stadium,0
2019,Deccan Chargers,Maharashtra Cricket Association Stadium,0
2019,Deccan Chargers,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2019,Deccan Chargers,Saurashtra Cricket Association Stadium,0
2019,Deccan Chargers,Green Park,0
2019,Deccan Chargers,M.Chinnaswamy Stadium,0
2019,Chennai Super Kings,M Chinnaswamy Stadium,0
2019,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",0
2019,Chennai Super Kings,Feroz Shah Kotla,1
2019,Chennai Super Kings,Wankhede Stadium,0
2019,Chennai Super Kings,Eden Gardens,1
2019,Chennai Super Kings,Sawai Mansingh Stadium,1
2019,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",0
2019,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",6
2019,Chennai Super Kings,Dr DY Patil Sports Academy,0
2019,Chennai Super Kings,Newlands,0
2019,Chennai Super Kings,St George's Park,0
2019,Chennai Super Kings,Kingsmead,0
2019,Chennai Super Kings,SuperSport Park,0
2019,Chennai Super Kings,Buffalo Park,0
2019,Chennai Super Kings,New Wanderers Stadium,0
2019,Chennai Super Kings,De Beers Diamond Oval,0
2019,Chennai Super Kings,OUTsurance Oval,0
2019,Chennai Super Kings,Brabourne Stadium,0
2019,Chennai Super Kings,"Sardar Patel Stadium, Motera",0
2019,Chennai Super Kings,Barabati Stadium,0
2019,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",0
2019,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,0
2019,Chennai Super Kings,Nehru Stadium,0
2019,Chennai Super Kings,Holkar Cricket Stadium,0
2019,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1
2019,Chennai Super Kings,Subrata Roy Sahara Stadium,0
2019,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,0
2019,Chennai Super Kings,JSCA International Stadium Complex,0
2019,Chennai Super Kings,Sheikh Zayed Stadium,0
2019,Chennai Super Kings,Sharjah Cricket Stadium,0
2019,Chennai Super Kings,Dubai International Cricket Stadium,0
2019,Chennai Super Kings,Maharashtra Cricket Association Stadium,0
2019,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2019,Chennai Super Kings,Saurashtra Cricket Association Stadium,0
2019,Chennai Super Kings,Green Park,0
2019,Chennai Super Kings,M.Chinnaswamy Stadium,0
2019,Kochi Tuskers Kerala,M Chinnaswamy Stadium,0
2019,Kochi Tuskers Kerala,"Punjab Cricket Association Stadium, Mohali",0
2019,Kochi Tuskers Kerala,Feroz Shah Kotla,0
2019,Kochi Tuskers Kerala,Wankhede Stadium,0
2019,Kochi Tuskers Kerala,Eden Gardens,0
2019,Kochi Tuskers Kerala,Sawai Mansingh Stadium,0
2019,Kochi Tuskers Kerala,"Rajiv Gandhi International Stadium, Uppal",0
2019,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",0
2019,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,0
2019,Kochi Tuskers Kerala,Newlands,0
2019,Kochi Tuskers Kerala,St George's Park,0
2019,Kochi Tuskers Kerala,Kingsmead,0
2019,Kochi Tuskers Kerala,SuperSport Park,0
2019,Kochi Tuskers Kerala,Buffalo Park,0
2019,Kochi Tuskers Kerala,New Wanderers Stadium,0
2019,Kochi Tuskers Kerala,De Beers Diamond Oval,0
2019,Kochi Tuskers Kerala,OUTsurance Oval,0
2019,Kochi Tuskers Kerala,Brabourne Stadium,0
2019,Kochi Tuskers Kerala,"Sardar Patel Stadium, Motera",0
2019,Kochi Tuskers Kerala,Barabati Stadium,0
2019,Kochi Tuskers Kerala,"Vidarbha Cricket Association Stadium, Jamtha",0
2019,Kochi Tuskers Kerala,Himachal Pradesh Cricket Association Stadium,0
2019,Kochi Tuskers Kerala,Nehru Stadium,0
2019,Kochi Tuskers Kerala,Holkar Cricket Stadium,0
2019,Kochi Tuskers Kerala,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2019,Kochi Tuskers Kerala,Subrata Roy Sahara Stadium,0
2019,Kochi Tuskers Kerala,Shaheed Veer Narayan Singh International Stadium,0
2019,Kochi Tuskers Kerala,JSCA International Stadium Complex,0
2019,Kochi Tuskers Kerala,Sheikh Zayed Stadium,0
2019,Kochi Tuskers Kerala,Sharjah Cricket Stadium,0
2019,Kochi Tuskers Kerala,Dubai International Cricket Stadium,0
2019,Kochi Tuskers Kerala,Maharashtra Cricket Association Stadium,0
2019,Kochi Tuskers Kerala,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2019,Kochi Tuskers Kerala,Saurashtra Cricket Association Stadium,0
2019,Kochi Tuskers Kerala,Green Park,0
2019,Kochi Tuskers Kerala,M.Chinnaswamy Stadium,0
2019,Pune Warriors,M Chinnaswamy Stadium,0
2019,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",0
2019,Pune Warriors,Feroz Shah Kotla,0
2019,Pune Warriors,Wankhede Stadium,0
2019,Pune Warriors,Eden Gardens,0
2019,Pune Warriors,Sawai Mansingh Stadium,0
2019,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",0
2019,Pune Warriors,"MA Chidambaram Stadium, Chepauk",0
2019,Pune Warriors,Dr DY Patil Sports Academy,0
2019,Pune Warriors,Newlands,0
2019,Pune Warriors,St George's Park,0
2019,Pune Warriors,Kingsmead,0
2019,Pune Warriors,SuperSport Park,0
2019,Pune Warriors,Buffalo Park,0
2019,Pune Warriors,New Wanderers Stadium,0
2019,Pune Warriors,De Beers Diamond Oval,0
2019,Pune Warriors,OUTsurance Oval,0
2019,Pune Warriors,Brabourne Stadium,0
2019,Pune Warriors,"Sardar Patel Stadium, Motera",0
2019,Pune Warriors,Barabati Stadium,0
2019,Pune Warriors,"Vidarbha Cricket Association Stadium, Jamtha",0
2019,Pune Warriors,Himachal Pradesh Cricket Association Stadium,0
2019,Pune Warriors,Nehru Stadium,0
2019,Pune Warriors,Holkar Cricket Stadium,0
2019,Pune Warriors,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2019,Pune Warriors,Subrata Roy Sahara Stadium,0
2019,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,0
2019,Pune Warriors,JSCA International Stadium Complex,0
2019,Pune Warriors,Sheikh Zayed Stadium,0
2019,Pune Warriors,Sharjah Cricket Stadium,0
2019,Pune Warriors,Dubai International Cricket Stadium,0
2019,Pune Warriors,Maharashtra Cricket Association Stadium,0
2019,Pune Warriors,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2019,Pune Warriors,Saurashtra Cricket Association Stadium,0
2019,Pune Warriors,Green Park,0
2019,Pune Warriors,M.Chinnaswamy Stadium,0
2019,Sunrisers Hyderabad,M Chinnaswamy Stadium,0
2019,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",0
2019,Sunrisers Hyderabad,Feroz Shah Kotla,1
2019,Sunrisers Hyderabad,Wankhede Stadium,0
2019,Sunrisers Hyderabad,Eden Gardens,0
2019,Sunrisers Hyderabad,Sawai Mansingh Stadium,0
2019,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5
2019,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",0
2019,Sunrisers Hyderabad,Dr DY Patil Sports Academy,0
2019,Sunrisers Hyderabad,Newlands,0
2019,Sunrisers Hyderabad,St George's Park,0
2019,Sunrisers Hyderabad,Kingsmead,0
2019,Sunrisers Hyderabad,SuperSport Park,0
2019,Sunrisers Hyderabad,Buffalo Park,0
2019,Sunrisers Hyderabad,New Wanderers Stadium,0
2019,Sunrisers Hyderabad,De Beers Diamond Oval,0
2019,Sunrisers Hyderabad,OUTsurance Oval,0
2019,Sunrisers Hyderabad,Brabourne Stadium,0
2019,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",0
2019,Sunrisers Hyderabad,Barabati Stadium,0
2019,Sunrisers Hyderabad,"Vidarbha Cricket Association Stadium, Jamtha",0
2019,Sunrisers Hyderabad,Himachal Pradesh Cricket Association Stadium,0
2019,Sunrisers Hyderabad,Nehru Stadium,0
2019,Sunrisers Hyderabad,Holkar Cricket Stadium,0
2019,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2019,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,0
2019,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,0
2019,Sunrisers Hyderabad,JSCA International Stadium Complex,0
2019,Sunrisers Hyderabad,Sheikh Zayed Stadium,0
2019,Sunrisers Hyderabad,Sharjah Cricket Stadium,0
2019,Sunrisers Hyderabad,Dubai International Cricket Stadium,0
2019,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,0
2019,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2019,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,0
2019,Sunrisers Hyderabad,Green Park,0
2019,Sunrisers Hyderabad,M.Chinnaswamy Stadium,0
2019,Gujarat Lions,M Chinnaswamy Stadium,0
2019,Gujarat Lions,"Punjab Cricket Association Stadium, Mohali",0
2019,Gujarat Lions,Feroz Shah Kotla,0
2019,Gujarat Lions,Wankhede Stadium,0
2019,Gujarat Lions,Eden Gardens,0
2019,Gujarat Lions,Sawai Mansingh Stadium,0
2019,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",0
2019,Gujarat Lions,"MA Chidambaram Stadium, Chepauk",0
2019,Gujarat Lions,Dr DY Patil Sports Academy,0
2019,Gujarat Lions,Newlands,0
2019,Gujarat Lions,St George's Park,0
2019,Gujarat Lions,Kingsmead,0
2019,Gujarat Lions,SuperSport Park,0
2019,Gujarat Lions,Buffalo Park,0
2019,Gujarat Lions,New Wanderers Stadium,0
2019,Gujarat Lions,De Beers Diamond Oval,0
2019,Gujarat Lions,OUTsurance Oval,0
2019,Gujarat Lions,Brabourne Stadium,0
2019,Gujarat Lions,"Sardar Patel Stadium, Motera",0
2019,Gujarat Lions,Barabati Stadium,0
2019,Gujarat Lions,"Vidarbha Cricket Association Stadium, Jamtha",0
2019,Gujarat Lions,Himachal Pradesh Cricket Association Stadium,0
2019,Gujarat Lions,Nehru Stadium,0
2019,Gujarat Lions,Holkar Cricket Stadium,0
2019,Gujarat Lions,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2019,Gujarat Lions,Subrata Roy Sahara Stadium,0
2019,Gujarat Lions,Shaheed Veer Narayan Singh International Stadium,0
2019,Gujarat Lions,JSCA International Stadium Complex,0
2019,Gujarat Lions,Sheikh Zayed Stadium,0
2019,Gujarat Lions,Sharjah Cricket Stadium,0
2019,Gujarat Lions,Dubai International Cricket Stadium,0
2019,Gujarat Lions,Maharashtra Cricket Association Stadium,0
2019,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2019,Gujarat Lions,Saurashtra Cricket Association Stadium,0
2019,Gujarat Lions,Green Park,0
2019,Gujarat Lions,M.Chinnaswamy Stadium,0
2019,Rising Pune Supergiants,M Chinnaswamy Stadium,0
2019,Rising Pune Supergiants,"Punjab Cricket Association Stadium, Mohali",0
2019,Rising Pune Supergiants,Feroz Shah Kotla,0
2019,Rising Pune Supergiants,Wankhede Stadium,0
2019,Rising Pune Supergiants,Eden Gardens,0
2019,Rising Pune Supergiants,Sawai Mansingh Stadium,0
2019,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",0
2019,Rising Pune Supergiants,"MA Chidambaram Stadium, Chepauk",0
2019,Rising Pune Supergiants,Dr DY Patil Sports Academy,0
2019,Rising Pune Supergiants,Newlands,0
2019,Rising Pune Supergiants,St George's Park,0
2019,Rising Pune Supergiants,Kingsmead,0
2019,Rising Pune Supergiants,SuperSport Park,0
2019,Rising Pune Supergiants,Buffalo Park,0
2019,Rising Pune Supergiants,New Wanderers Stadium,0
2019,Rising Pune Supergiants,De Beers Diamond Oval,0
2019,Rising Pune Supergiants,OUTsurance Oval,0
2019,Rising Pune Supergiants,Brabourne Stadium,0
2019,Rising Pune Supergiants,"Sardar Patel Stadium, Motera",0
2019,Rising Pune Supergiants,Barabati Stadium,0
2019,Rising Pune Supergiants,"Vidarbha Cricket Association Stadium, Jamtha",0
2019,Rising Pune Supergiants,Himachal Pradesh Cricket Association Stadium,0
2019,Rising Pune Supergiants,Nehru Stadium,0
2019,Rising Pune Supergiants,Holkar Cricket Stadium,0
2019,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2019,Rising Pune Supergiants,Subrata Roy Sahara Stadium,0
2019,Rising Pune Supergiants,Shaheed Veer Narayan Singh International Stadium,0
2019,Rising Pune Supergiants,JSCA International Stadium Complex,0
2019,Rising Pune Supergiants,Sheikh Zayed Stadium,0
2019,Rising Pune Supergiants,Sharjah Cricket Stadium,0
2019,Rising Pune Supergiants,Dubai International Cricket Stadium,0
2019,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,0
2019,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2019,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,0
2019,Rising Pune Supergiants,Green Park,0
2019,Rising Pune Supergiants,M.Chinnaswamy Stadium,0
2019,Rising Pune Supergiant,M Chinnaswamy Stadium,0
2019,Rising Pune Supergiant,"Punjab Cricket Association Stadium, Mohali",0
2019,Rising Pune Supergiant,Feroz Shah Kotla,0
2019,Rising Pune Supergiant,Wankhede Stadium,0
2019,Rising Pune Supergiant,Eden Gardens,0
2019,Rising Pune Supergiant,Sawai Mansingh Stadium,0
2019,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",0
2019,Rising Pune Supergiant,"MA Chidambaram Stadium, Chepauk",0
2019,Rising Pune Supergiant,Dr DY Patil Sports Academy,0
2019,Rising Pune Supergiant,Newlands,0
2019,Rising Pune Supergiant,St George's Park,0
2019,Rising Pune Supergiant,Kingsmead,0
2019,Rising Pune Supergiant,SuperSport Park,0
2019,Rising Pune Supergiant,Buffalo Park,0
2019,Rising Pune Supergiant,New Wanderers Stadium,0
2019,Rising Pune Supergiant,De Beers Diamond Oval,0
2019,Rising Pune Supergiant,OUTsurance Oval,0
2019,Rising Pune Supergiant,Brabourne Stadium,0
2019,Rising Pune Supergiant,"Sardar Patel Stadium, Motera",0
2019,Rising Pune Supergiant,Barabati Stadium,0
2019,Rising Pune Supergiant,"Vidarbha Cricket Association Stadium, Jamtha",0
2019,Rising Pune Supergiant,Himachal Pradesh Cricket Association Stadium,0
2019,Rising Pune Supergiant,Nehru Stadium,0
2019,Rising Pune Supergiant,Holkar Cricket Stadium,0
2019,Rising Pune Supergiant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2019,Rising Pune Supergiant,Subrata Roy Sahara Stadium,0
2019,Rising Pune Supergiant,Shaheed Veer Narayan Singh International Stadium,0
2019,Rising Pune Supergiant,JSCA International Stadium Complex,0
2019,Rising Pune Supergiant,Sheikh Zayed Stadium,0
2019,Rising Pune Supergiant,Sharjah Cricket Stadium,0
2019,Rising Pune Supergiant,Dubai International Cricket Stadium,0
2019,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,0
2019,Rising Pune Supergiant,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2019,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,0
2019,Rising Pune Supergiant,Green Park,0
2019,Rising Pune Supergiant,M.Chinnaswamy Stadium,0
2019,Delhi Capitals,M Chinnaswamy Stadium,0
2019,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",0
2019,Delhi Capitals,Feroz Shah Kotla,4
2019,Delhi Capitals,Wankhede Stadium,1
2019,Delhi Capitals,Eden Gardens,1
2019,Delhi Capitals,Sawai Mansingh Stadium,1
2019,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",1
2019,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",0
2019,Delhi Capitals,Dr DY Patil Sports Academy,0
2019,Delhi Capitals,Newlands,0
2019,Delhi Capitals,St George's Park,0
2019,Delhi Capitals,Kingsmead,0
2019,Delhi Capitals,SuperSport Park,0
2019,Delhi Capitals,Buffalo Park,0
2019,Delhi Capitals,New Wanderers Stadium,0
2019,Delhi Capitals,De Beers Diamond Oval,0
2019,Delhi Capitals,OUTsurance Oval,0
2019,Delhi Capitals,Brabourne Stadium,0
2019,Delhi Capitals,"Sardar Patel Stadium, Motera",0
2019,Delhi Capitals,Barabati Stadium,0
2019,Delhi Capitals,"Vidarbha Cricket Association Stadium, Jamtha",0
2019,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,0
2019,Delhi Capitals,Nehru Stadium,0
2019,Delhi Capitals,Holkar Cricket Stadium,0
2019,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1
2019,Delhi Capitals,Subrata Roy Sahara Stadium,0
2019,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,0
2019,Delhi Capitals,JSCA International Stadium Complex,0
2019,Delhi Capitals,Sheikh Zayed Stadium,0
2019,Delhi Capitals,Sharjah Cricket Stadium,0
2019,Delhi Capitals,Dubai International Cricket Stadium,0
2019,Delhi Capitals,Maharashtra Cricket Association Stadium,0
2019,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2019,Delhi Capitals,Saurashtra Cricket Association Stadium,0
2019,Delhi Capitals,Green Park,0
2019,Delhi Capitals,M.Chinnaswamy Stadium,1
2020,Royal Challengers Bangalore,M Chinnaswamy Stadium,0
2020,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",0
2020,Royal Challengers Bangalore,Feroz Shah Kotla,0
2020,Royal Challengers Bangalore,Wankhede Stadium,0
2020,Royal Challengers Bangalore,Eden Gardens,0
2020,Royal Challengers Bangalore,Sawai Mansingh Stadium,0
2020,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",0
2020,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",0
2020,Royal Challengers Bangalore,Dr DY Patil Sports Academy,0
2020,Royal Challengers Bangalore,Newlands,0
2020,Royal Challengers Bangalore,St George's Park,0
2020,Royal Challengers Bangalore,Kingsmead,0
2020,Royal Challengers Bangalore,SuperSport Park,0
2020,Royal Challengers Bangalore,Buffalo Park,0
2020,Royal Challengers Bangalore,New Wanderers Stadium,0
2020,Royal Challengers Bangalore,De Beers Diamond Oval,0
2020,Royal Challengers Bangalore,OUTsurance Oval,0
2020,Royal Challengers Bangalore,Brabourne Stadium,0
2020,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",0
2020,Royal Challengers Bangalore,Barabati Stadium,0
2020,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,0
2020,Royal Challengers Bangalore,Nehru Stadium,0
2020,Royal Challengers Bangalore,Holkar Cricket Stadium,0
2020,Royal Challengers Bangalore,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,0
2020,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,0
2020,Royal Challengers Bangalore,JSCA International Stadium Complex,0
2020,Royal Challengers Bangalore,Sheikh Zayed Stadium,2
2020,Royal Challengers Bangalore,Sharjah Cricket Stadium,1
2020,Royal Challengers Bangalore,Dubai International Cricket Stadium,4
2020,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,0
2020,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,0
2020,Royal Challengers Bangalore,Green Park,0
2020,Royal Challengers Bangalore,M.Chinnaswamy Stadium,0
2020,Kings XI Punjab,M Chinnaswamy Stadium,0
2020,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0
2020,Kings XI Punjab,Feroz Shah Kotla,0
2020,Kings XI Punjab,Wankhede Stadium,0
2020,Kings XI Punjab,Eden Gardens,0
2020,Kings XI Punjab,Sawai Mansingh Stadium,0
2020,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",0
2020,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",0
2020,Kings XI Punjab,Dr DY Patil Sports Academy,0
2020,Kings XI Punjab,Newlands,0
2020,Kings XI Punjab,St George's Park,0
2020,Kings XI Punjab,Kingsmead,0
2020,Kings XI Punjab,SuperSport Park,0
2020,Kings XI Punjab,Buffalo Park,0
2020,Kings XI Punjab,New Wanderers Stadium,0
2020,Kings XI Punjab,De Beers Diamond Oval,0
2020,Kings XI Punjab,OUTsurance Oval,0
2020,Kings XI Punjab,Brabourne Stadium,0
2020,Kings XI Punjab,"Sardar Patel Stadium, Motera",0
2020,Kings XI Punjab,Barabati Stadium,0
2020,Kings XI Punjab,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,0
2020,Kings XI Punjab,Nehru Stadium,0
2020,Kings XI Punjab,Holkar Cricket Stadium,0
2020,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Kings XI Punjab,Subrata Roy Sahara Stadium,0
2020,Kings XI Punjab,Shaheed Veer Narayan Singh International Stadium,0
2020,Kings XI Punjab,JSCA International Stadium Complex,0
2020,Kings XI Punjab,Sheikh Zayed Stadium,0
2020,Kings XI Punjab,Sharjah Cricket Stadium,2
2020,Kings XI Punjab,Dubai International Cricket Stadium,4
2020,Kings XI Punjab,Maharashtra Cricket Association Stadium,0
2020,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Kings XI Punjab,Saurashtra Cricket Association Stadium,0
2020,Kings XI Punjab,Green Park,0
2020,Kings XI Punjab,M.Chinnaswamy Stadium,0
2020,Delhi Daredevils,M Chinnaswamy Stadium,0
2020,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",0
2020,Delhi Daredevils,Feroz Shah Kotla,0
2020,Delhi Daredevils,Wankhede Stadium,0
2020,Delhi Daredevils,Eden Gardens,0
2020,Delhi Daredevils,Sawai Mansingh Stadium,0
2020,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0
2020,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",0
2020,Delhi Daredevils,Dr DY Patil Sports Academy,0
2020,Delhi Daredevils,Newlands,0
2020,Delhi Daredevils,St George's Park,0
2020,Delhi Daredevils,Kingsmead,0
2020,Delhi Daredevils,SuperSport Park,0
2020,Delhi Daredevils,Buffalo Park,0
2020,Delhi Daredevils,New Wanderers Stadium,0
2020,Delhi Daredevils,De Beers Diamond Oval,0
2020,Delhi Daredevils,OUTsurance Oval,0
2020,Delhi Daredevils,Brabourne Stadium,0
2020,Delhi Daredevils,"Sardar Patel Stadium, Motera",0
2020,Delhi Daredevils,Barabati Stadium,0
2020,Delhi Daredevils,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,0
2020,Delhi Daredevils,Nehru Stadium,0
2020,Delhi Daredevils,Holkar Cricket Stadium,0
2020,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Delhi Daredevils,Subrata Roy Sahara Stadium,0
2020,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,0
2020,Delhi Daredevils,JSCA International Stadium Complex,0
2020,Delhi Daredevils,Sheikh Zayed Stadium,0
2020,Delhi Daredevils,Sharjah Cricket Stadium,0
2020,Delhi Daredevils,Dubai International Cricket Stadium,0
2020,Delhi Daredevils,Maharashtra Cricket Association Stadium,0
2020,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Delhi Daredevils,Saurashtra Cricket Association Stadium,0
2020,Delhi Daredevils,Green Park,0
2020,Delhi Daredevils,M.Chinnaswamy Stadium,0
2020,Mumbai Indians,M Chinnaswamy Stadium,0
2020,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0
2020,Mumbai Indians,Feroz Shah Kotla,0
2020,Mumbai Indians,Wankhede Stadium,0
2020,Mumbai Indians,Eden Gardens,0
2020,Mumbai Indians,Sawai Mansingh Stadium,0
2020,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",0
2020,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",0
2020,Mumbai Indians,Dr DY Patil Sports Academy,0
2020,Mumbai Indians,Newlands,0
2020,Mumbai Indians,St George's Park,0
2020,Mumbai Indians,Kingsmead,0
2020,Mumbai Indians,SuperSport Park,0
